Marke;Modell;Farbe;
BMW;X3;blau;
Ford;Fiesta;gruen;
Audi;A4;silber;
BMW;X3;silber;
Ford;Fiesta;blau;
Audi;A4;schwarz;
BMW;3er;silber;
Ford;Puma;schwarz;
Audi;A6;silber;
BMW;5er;silber;
Ford;Puma;gruen;
Audi;A6;schwarz;
Audi;A8;schwarz;
BMW;7er;blau;
BMW;5er;silber;
Ford;Puma;gruen;
Ford;Kuga;schwarz;
Ford;Kuga;gruen;
Audi;A8;silber;
BMW;X5;blau;
Audi;A3;weiss;
BMW;X5;weiss;
Audi;A6;silber;
BMW;7er;schwarz;
BMW;7er;blau;
BMW;7er;weiss;
Ford;Puma;silber;
Ford;Kuga;gruen;
BMW;X3;weiss;
Ford;Fiesta;weiss;
BMW;X6;schwarz;
Ford;Fiesta;blau;